,query_id,query_str,ans_id,ans_str
0,1,What is the total number of work hours per week?,1,"The working hours is 42 hours per week, excluding a 1-hour meal break per day."
1,2,How long is the official working hours?,2,"The official working hours for Monday to Thursday are from 8:30am to 6.00pm. For Friday, it is from 8:30am to 5:30pm. Finally, there is an one hour lunch break for every working day."
2,3,Are there any other things to take note of regarding the working hours?,3,"Depending on the nature of work, confirmed full-time employees may apply for flexible work arrangements, subject to the Reporting Officerâ€™s approval. Working hours may commence from 7:30am to 9:30am (every half-hour interval) and end from 5:00pm to 7:00pm (every half-hour interval). Working hours will be determined by the School from time to time depending on operational requirements. The School shall inform the employee in advance if changes are required to be made to the working hours."
3,4,Can you tell me about the company's policy on gazetted public holidays?,4,"Employees shall be entitled to all government gazette public holidays. In the event of a public holiday falling on a Saturday, employees shall be eligible for a one day off-in-lieu, provided the School does not declare a working day before or after the Public Holiday as a substitute Public Holiday. The day off-in-lieu must be taken within 6 months from the Public Holiday."
4,5,Can you tell me how overtime works in this company?,5,Employees are not entitled to payment for overtime if they have to work in excess of the defined work day or work week to perform scheduled or critical tasks to meet the operational needs of their respective departments or the School.
5,6,What happens if I fall sick and not able to attend/absent for work?,6,"In the event of illness, an employee must notify his Head of Department/ Reporting Officer on the first day of absence and submit his medical certificate to Duke-NUS Human Resources Department through the Head of Department/ Reporting Officer on return from medical leave."
6,7,What is the probation & confirmation about?,7,"Employees are normally required to serve a probationary period of 6 months or such other period as stated in the letter of appointment, commencing from the date of appointment. Confirmation of appointment is subject to satisfactory job performance and suitability during the probation period. If an employee is unable to fulfill the requirements of the position for which he/she is employed, the School reserves the right to extend the period of probation or adjust his position to one of a lesser capacity with or without a corresponding adjustment in salary, or terminate his employment in accordance with the terms of employment. Employees will be advised of their confirmation or extension of probation in writing."
7,8,Can you tell me more about the retirement policies in the company?,8,"The retirement age of an employee is currently sixty-two (62) years or such other age as may be prescribed by applicable legislation. The School may at its discretion, offer to reemploy a retired employee on a year-to-year contract, subject to satisfactory medical clearance from the Schoolâ€™s appointed doctor and on such terms and conditions to be mutually agreed between the School and the employee."
8,9,Can you tell me about the disciplinary procedure in this company?,9,All employees are subject to the disciplinary procedures of NUS prevailing from time to time. Further details can be obtained by approaching the Duke-NUS Human Resources Department or the respective Heads of Offices.
9,10,Can you tell me about MVC (Monthly Variable Component)?,10,"This is applicable to Executive & Professional staff only. The monthly base salary includes a Monthly Variable Component (MVC) of up to fifteen percent (15%) of the monthly base salary. The MVC may be varied or withdrawn at the Schoolâ€™s discretion, depending on economic conditions."
